purchase_history,product_preferences,brand_affinity,payment_methods,channel_preferences,shopping_frequency,average_purchase_value,returned_items_frequency,loyalty_program_enrollment,promotional_sensitivity,wishlist_activity,cart_abandonment_rate,event_participation,content_engagement_level,advertisement_response_rate
Rare,Clothing,Low,Debit Card,Online,Monthly,>$500,Moderate,Yes,High,Active,Moderate,Frequent,Low,High
Occasional,Books,High,Credit Card,Both,Weekly,$50-$100,High,Yes,Low,Active,High,Never,High,High
Rare,Electronics,Moderate,Cash,Offline,Daily,>$500,High,No,Moderate,Active,Low,Occasional,Moderate,High
Occasional,Groceries,Moderate,Debit Card,Offline,Monthly,>$500,High,No,Moderate,Inactive,High,Occasional,Moderate,Moderate
Rare,Books,Low,Debit Card,Offline,Weekly,>$500,Moderate,No,Moderate,Inactive,Low,Never,Low,High
Rare,Groceries,Low,Debit Card,Online,Occasionally,$100-$500,Moderate,Yes,Low,Inactive,Moderate,Frequent,Moderate,Moderate
Occasional,Home Decor,High,Debit Card,Both,Daily,>$500,Low,No,High,Inactive,Low,Frequent,Low,Low
Occasional,Books,Moderate,Debit Card,Offline,Daily,>$500,Moderate,No,High,Inactive,Moderate,Frequent,High,Low
Occasional,Home Decor,Low,Cash,Offline,Monthly,$100-$500,Low,No,High,Active,High,Frequent,High,Low
Rare,Home Decor,Low,Credit Card,Both,Occasionally,$100-$500,Moderate,No,Moderate,Active,High,Never,Moderate,High
Rare,Groceries,Moderate,Cash,Offline,Daily,>$500,Moderate,No,Low,Inactive,Moderate,Frequent,High,Low
Occasional,Books,Low,Debit Card,Offline,Monthly,$50-$100,Low,Yes,Moderate,Inactive,Low,Frequent,High,Moderate
Frequent,Home Decor,High,Debit Card,Both,Weekly,>$500,High,Yes,High,Active,Moderate,Frequent,Low,High
Rare,Groceries,Low,Digital Wallet,Offline,Monthly,>$500,High,No,High,Active,Moderate,Occasional,Low,Low
Rare,Home Decor,Moderate,Cash,Online,Occasionally,$100-$500,High,No,Moderate,Inactive,High,Occasional,High,Low
Occasional,Clothing,High,Digital Wallet,Offline,Daily,>$500,Low,Yes,High,Inactive,Low,Occasional,High,High
Frequent,Books,Low,Digital Wallet,Online,Occasionally,$50-$100,Low,Yes,Moderate,Inactive,Low,Never,Moderate,Low
Rare,Electronics,Low,Cash,Both,Monthly,<$50,Low,No,High,Active,Low,Occasional,High,Moderate
Occasional,Clothing,High,Digital Wallet,Online,Occasionally,$50-$100,High,Yes,Low,Active,Low,Frequent,Low,High
Occasional,Books,High,Credit Card,Online,Monthly,$100-$500,High,Yes,Low,Inactive,High,Occasional,High,High
Rare,Clothing,Moderate,Credit Card,Offline,Monthly,<$50,High,Yes,High,Inactive,Moderate,Frequent,Moderate,Low
Frequent,Clothing,High,Credit Card,Online,Monthly,<$50,Moderate,Yes,Low,Inactive,Low,Never,High,High
Rare,Electronics,Moderate,Digital Wallet,Both,Monthly,<$50,Moderate,No,Low,Inactive,Moderate,Frequent,Low,Moderate
Rare,Books,High,Debit Card,Online,Occasionally,>$500,Low,No,Low,Inactive,Moderate,Never,Moderate,Low
Occasional,Books,Low,Cash,Both,Weekly,$100-$500,High,No,Moderate,Active,Moderate,Occasional,High,Moderate
Frequent,Clothing,Low,Credit Card,Online,Occasionally,$50-$100,Low,No,Moderate,Inactive,Low,Frequent,Moderate,Moderate
Occasional,Home Decor,Moderate,Credit Card,Both,Daily,$50-$100,Low,No,Moderate,Inactive,Low,Frequent,Low,High
Rare,Electronics,Moderate,Cash,Both,Occasionally,<$50,High,No,High,Active,High,Frequent,Moderate,Moderate
Frequent,Clothing,High,Cash,Offline,Daily,<$50,Low,No,High,Inactive,Low,Occasional,High,Moderate
Rare,Home Decor,High,Credit Card,Online,Monthly,<$50,High,Yes,Moderate,Active,Low,Frequent,Low,Low
Frequent,Groceries,High,Digital Wallet,Online,Weekly,$100-$500,Moderate,No,Low,Active,High,Never,Low,High
Frequent,Home Decor,Low,Debit Card,Offline,Daily,$100-$500,Low,No,Low,Active,High,Never,Moderate,Moderate
Rare,Groceries,Low,Debit Card,Offline,Occasionally,$100-$500,High,No,Low,Active,High,Never,High,Low
Occasional,Groceries,Moderate,Digital Wallet,Both,Daily,>$500,Moderate,No,Moderate,Inactive,Low,Never,High,Moderate
Frequent,Clothing,Low,Cash,Both,Occasionally,$100-$500,Moderate,Yes,Low,Active,Moderate,Never,Moderate,Moderate
Rare,Home Decor,Moderate,Digital Wallet,Offline,Monthly,>$500,Moderate,Yes,Moderate,Inactive,Low,Never,High,Moderate
Rare,Clothing,Moderate,Digital Wallet,Both,Occasionally,<$50,Low,No,Low,Active,High,Frequent,Moderate,Low
Rare,Books,High,Credit Card,Both,Monthly,$50-$100,Low,Yes,High,Active,High,Never,Moderate,Low
Occasional,Books,Moderate,Digital Wallet,Both,Daily,>$500,Moderate,Yes,Low,Inactive,Moderate,Frequent,Moderate,Moderate
Rare,Electronics,Moderate,Credit Card,Both,Daily,$100-$500,High,Yes,Low,Inactive,High,Never,Moderate,Low
Frequent,Groceries,Moderate,Credit Card,Offline,Occasionally,$50-$100,Moderate,Yes,High,Active,High,Occasional,High,Low
Rare,Clothing,Low,Digital Wallet,Both,Occasionally,$50-$100,High,Yes,Low,Inactive,Moderate,Frequent,High,High
Occasional,Electronics,Low,Credit Card,Offline,Occasionally,<$50,Low,No,Moderate,Inactive,High,Occasional,Low,Low
Occasional,Books,High,Digital Wallet,Both,Daily,>$500,High,No,Moderate,Active,High,Frequent,Low,Moderate
Frequent,Groceries,Low,Cash,Both,Weekly,<$50,Low,No,High,Inactive,High,Never,High,High
Occasional,Clothing,Moderate,Credit Card,Online,Monthly,>$500,High,No,Moderate,Inactive,Moderate,Never,High,Low
Occasional,Electronics,Low,Cash,Both,Monthly,$50-$100,Low,Yes,Moderate,Inactive,High,Occasional,Low,Low
Rare,Home Decor,High,Cash,Offline,Occasionally,>$500,Low,No,Moderate,Active,Moderate,Frequent,Moderate,High
Occasional,Electronics,Moderate,Cash,Online,Occasionally,$50-$100,Moderate,No,Low,Active,High,Frequent,High,Moderate
Frequent,Groceries,Moderate,Cash,Both,Monthly,$100-$500,Moderate,Yes,Moderate,Active,High,Frequent,Low,Moderate
Occasional,Clothing,High,Credit Card,Both,Monthly,<$50,Low,No,Moderate,Active,High,Frequent,Moderate,High
Occasional,Books,Moderate,Debit Card,Offline,Daily,$50-$100,Moderate,No,Moderate,Inactive,Low,Frequent,Low,Moderate
Frequent,Clothing,High,Debit Card,Offline,Daily,>$500,High,Yes,High,Inactive,Low,Occasional,Low,Moderate
Rare,Groceries,High,Cash,Online,Monthly,<$50,Moderate,Yes,Moderate,Active,Moderate,Never,High,Low
Occasional,Home Decor,Moderate,Digital Wallet,Both,Occasionally,<$50,Moderate,No,Moderate,Active,Low,Frequent,Moderate,Low
Frequent,Clothing,High,Digital Wallet,Both,Daily,$100-$500,High,Yes,High,Inactive,Moderate,Occasional,Moderate,Moderate
Rare,Groceries,High,Debit Card,Offline,Monthly,$100-$500,Low,No,Moderate,Inactive,High,Never,Low,High
Rare,Groceries,High,Digital Wallet,Offline,Monthly,<$50,Low,Yes,Moderate,Inactive,Low,Occasional,Low,Low
Rare,Home Decor,Moderate,Credit Card,Both,Daily,>$500,Moderate,Yes,Moderate,Inactive,Low,Never,High,Moderate
Rare,Groceries,Low,Debit Card,Offline,Occasionally,>$500,High,Yes,High,Inactive,Moderate,Never,Low,High
Occasional,Clothing,High,Credit Card,Both,Monthly,>$500,High,Yes,High,Inactive,High,Frequent,High,High
Occasional,Electronics,High,Cash,Both,Monthly,<$50,High,Yes,Moderate,Inactive,Low,Occasional,Moderate,High
Rare,Groceries,Low,Digital Wallet,Both,Occasionally,<$50,Moderate,No,Low,Active,High,Never,Moderate,Moderate
Occasional,Clothing,High,Debit Card,Both,Daily,>$500,Moderate,Yes,Low,Active,Moderate,Frequent,Moderate,High
Occasional,Groceries,Low,Debit Card,Both,Monthly,$100-$500,High,No,Low,Active,High,Frequent,Low,High
Rare,Groceries,High,Cash,Offline,Weekly,<$50,Low,Yes,Moderate,Inactive,Low,Frequent,Moderate,High
Rare,Clothing,High,Cash,Both,Monthly,<$50,Low,No,High,Active,Moderate,Frequent,High,Low
Frequent,Electronics,Low,Debit Card,Offline,Occasionally,<$50,Low,Yes,Low,Inactive,Low,Occasional,High,High
Rare,Books,Moderate,Cash,Both,Daily,<$50,High,No,High,Inactive,Moderate,Never,Moderate,Moderate
Rare,Books,Low,Digital Wallet,Both,Weekly,$50-$100,Moderate,No,Moderate,Active,Low,Frequent,Moderate,High
Frequent,Electronics,Low,Cash,Offline,Weekly,$50-$100,Low,Yes,High,Active,Moderate,Occasional,Moderate,High
Frequent,Books,Low,Credit Card,Online,Weekly,$100-$500,Moderate,Yes,Moderate,Inactive,Moderate,Occasional,High,Moderate
Frequent,Electronics,Moderate,Digital Wallet,Offline,Occasionally,>$500,Low,No,Low,Active,Low,Frequent,Moderate,Low
Frequent,Home Decor,Low,Digital Wallet,Online,Weekly,$100-$500,High,Yes,High,Active,High,Never,High,Moderate
Rare,Home Decor,Low,Debit Card,Both,Weekly,$100-$500,Low,No,High,Active,High,Occasional,High,High
Occasional,Groceries,High,Cash,Both,Monthly,$100-$500,High,Yes,High,Inactive,Low,Occasional,High,High
Occasional,Clothing,Low,Cash,Online,Monthly,>$500,Low,Yes,Moderate,Inactive,Low,Frequent,Moderate,High
Frequent,Groceries,Low,Cash,Both,Daily,$50-$100,Moderate,Yes,High,Inactive,Low,Frequent,High,Moderate
Frequent,Books,Moderate,Cash,Offline,Occasionally,<$50,Moderate,Yes,High,Active,Moderate,Never,High,Moderate
Rare,Books,Low,Digital Wallet,Offline,Occasionally,$100-$500,Low,Yes,Moderate,Inactive,Moderate,Frequent,High,Low
Frequent,Clothing,Moderate,Debit Card,Both,Occasionally,>$500,High,No,High,Inactive,Low,Never,High,High
Frequent,Groceries,Moderate,Digital Wallet,Offline,Monthly,<$50,Moderate,Yes,Low,Active,High,Frequent,Moderate,Moderate
Frequent,Home Decor,Moderate,Debit Card,Online,Occasionally,<$50,Moderate,Yes,High,Inactive,Low,Frequent,High,Low
Rare,Home Decor,High,Credit Card,Offline,Daily,$50-$100,Low,No,Low,Active,Low,Occasional,Moderate,Low
Frequent,Clothing,Moderate,Credit Card,Both,Daily,$50-$100,Moderate,Yes,Moderate,Inactive,Moderate,Occasional,Moderate,Moderate
Rare,Electronics,Moderate,Cash,Offline,Daily,<$50,Low,Yes,Low,Inactive,Low,Frequent,Moderate,Low
Rare,Home Decor,High,Credit Card,Both,Daily,>$500,Low,No,Low,Active,Low,Occasional,Low,Low
Frequent,Home Decor,Low,Cash,Offline,Occasionally,$50-$100,Low,No,Moderate,Inactive,High,Occasional,High,Moderate
Frequent,Electronics,High,Digital Wallet,Online,Daily,$50-$100,High,No,High,Active,High,Frequent,Moderate,Low
Occasional,Groceries,Moderate,Credit Card,Online,Weekly,$100-$500,Low,Yes,Low,Inactive,Moderate,Frequent,Low,High
Rare,Books,High,Cash,Both,Daily,$50-$100,Moderate,No,High,Inactive,Moderate,Frequent,Low,High
Frequent,Electronics,High,Digital Wallet,Both,Occasionally,$50-$100,High,Yes,Moderate,Inactive,Low,Frequent,Low,Moderate
Rare,Clothing,Moderate,Cash,Both,Occasionally,$100-$500,High,Yes,Moderate,Active,Low,Occasional,Low,High
Occasional,Clothing,Moderate,Cash,Both,Daily,>$500,High,No,High,Active,Low,Frequent,Moderate,Low
Frequent,Electronics,Moderate,Credit Card,Offline,Monthly,$50-$100,Low,Yes,Moderate,Active,Low,Never,Low,Low
Occasional,Clothing,High,Debit Card,Both,Weekly,<$50,Low,No,High,Inactive,Low,Never,High,Moderate
Frequent,Electronics,Low,Credit Card,Online,Occasionally,$50-$100,High,Yes,Moderate,Active,High,Occasional,Low,High
Rare,Books,High,Debit Card,Online,Occasionally,<$50,High,No,High,Active,High,Frequent,Low,Moderate
Rare,Clothing,Moderate,Debit Card,Both,Monthly,$100-$500,Moderate,No,Moderate,Inactive,Low,Occasional,Low,Low
Rare,Clothing,Low,Credit Card,Both,Occasionally,$100-$500,Moderate,Yes,High,Inactive,High,Frequent,Low,Moderate
Frequent,Clothing,Moderate,Cash,Both,Daily,>$500,Low,No,High,Inactive,Moderate,Never,Low,Low
Occasional,Clothing,High,Credit Card,Both,Daily,$50-$100,High,Yes,Low,Inactive,Moderate,Frequent,High,Low
Occasional,Books,High,Digital Wallet,Offline,Daily,<$50,Low,Yes,Moderate,Active,Low,Never,Moderate,Low
Occasional,Electronics,Moderate,Cash,Offline,Monthly,$50-$100,Low,Yes,Moderate,Inactive,Moderate,Never,Moderate,Low
Occasional,Books,High,Debit Card,Offline,Occasionally,$50-$100,Moderate,Yes,Moderate,Inactive,Moderate,Never,Moderate,High
Occasional,Electronics,Low,Cash,Offline,Weekly,$100-$500,High,No,Low,Inactive,Low,Never,Low,Low
Occasional,Clothing,High,Credit Card,Both,Daily,<$50,High,No,Moderate,Active,Low,Frequent,High,Moderate
Frequent,Clothing,Low,Debit Card,Online,Weekly,$100-$500,High,Yes,High,Inactive,Moderate,Occasional,High,Low
Rare,Clothing,Low,Credit Card,Offline,Daily,<$50,High,No,High,Inactive,Low,Occasional,Moderate,Moderate
Frequent,Groceries,Low,Debit Card,Online,Monthly,$100-$500,Moderate,Yes,Low,Active,Low,Frequent,Low,Low
Rare,Groceries,Low,Credit Card,Online,Daily,$100-$500,High,No,Moderate,Inactive,High,Occasional,High,Moderate
Rare,Home Decor,Moderate,Credit Card,Both,Monthly,>$500,Low,No,Low,Active,High,Never,High,High
Frequent,Electronics,Low,Digital Wallet,Offline,Daily,$100-$500,High,No,High,Inactive,Moderate,Never,High,Low
Frequent,Home Decor,Moderate,Cash,Online,Weekly,$50-$100,High,Yes,High,Active,High,Frequent,Moderate,Low
Rare,Books,Low,Cash,Both,Daily,>$500,Low,Yes,Low,Active,High,Never,Low,High
Rare,Home Decor,Moderate,Credit Card,Offline,Monthly,$100-$500,Moderate,Yes,Moderate,Active,Moderate,Frequent,Moderate,High
Occasional,Books,High,Cash,Online,Monthly,$50-$100,High,No,Low,Inactive,Moderate,Never,Low,High
Rare,Books,High,Cash,Both,Monthly,$100-$500,Low,No,Moderate,Inactive,Low,Occasional,Low,Low
Rare,Books,High,Digital Wallet,Offline,Weekly,$50-$100,Low,Yes,Low,Inactive,Low,Frequent,High,Low
Occasional,Electronics,High,Cash,Offline,Weekly,>$500,High,Yes,Low,Active,Moderate,Never,Moderate,High
Rare,Home Decor,High,Digital Wallet,Offline,Weekly,<$50,Low,Yes,Moderate,Active,High,Frequent,High,High
Occasional,Clothing,Moderate,Debit Card,Both,Occasionally,$100-$500,Low,No,Moderate,Active,Low,Frequent,High,High
Rare,Groceries,Moderate,Cash,Both,Occasionally,$50-$100,Low,Yes,High,Inactive,Moderate,Occasional,Moderate,Moderate
Occasional,Home Decor,High,Debit Card,Online,Weekly,<$50,Low,Yes,Low,Active,Low,Never,Low,Low
Frequent,Home Decor,Moderate,Cash,Online,Monthly,<$50,Low,Yes,High,Inactive,Moderate,Never,High,Moderate
Frequent,Books,Moderate,Credit Card,Both,Occasionally,$100-$500,High,Yes,Moderate,Active,Moderate,Frequent,High,High
Frequent,Books,High,Credit Card,Offline,Occasionally,>$500,High,Yes,High,Inactive,High,Occasional,High,High
Rare,Electronics,Moderate,Credit Card,Offline,Occasionally,$100-$500,Low,Yes,Moderate,Active,High,Frequent,Moderate,Low
Rare,Groceries,Moderate,Debit Card,Both,Monthly,$50-$100,Moderate,Yes,Moderate,Active,Moderate,Never,Moderate,Moderate
Frequent,Clothing,Moderate,Cash,Both,Occasionally,<$50,Low,No,High,Active,Low,Never,Moderate,High
Rare,Clothing,High,Credit Card,Both,Monthly,$50-$100,Moderate,No,Low,Active,High,Frequent,High,Low
Frequent,Books,Low,Debit Card,Offline,Monthly,$50-$100,High,Yes,Moderate,Active,Low,Frequent,Low,Moderate
Rare,Groceries,Low,Credit Card,Both,Monthly,$50-$100,Low,Yes,Low,Active,Low,Never,Low,Moderate
Occasional,Electronics,Moderate,Digital Wallet,Both,Weekly,>$500,Low,Yes,High,Inactive,High,Frequent,Low,High
